C25_Exponential
L
130
XCOORD.	YCOORD.	PROFIT	CUSTOMER	COLLECTRATE	DELAYRATIO
40	50	0	0	0	0	
45	68	10	1	0.02	0.0158	
45	70	30	1	0.021	0.0062	
42	66	10	1	0.016	0.0140	
42	68	10	1	0.0175	0.0147	
42	65	10	1	0.015	0.0136	
40	69	20	1	0.017	0.0077	
40	66	20	1	0.0145	0.0071	
38	68	20	1	0.0145	0.0071	
38	70	10	1	0.016	0.0140	
35	66	10	1	0.011	0.0114	
35	69	10	1	0.013	0.0125	
25	85	20	1	0.0175	0.0079	
22	75	30	1	0.023	0.0037	
22	85	10	1	0.015	0.0136	
20	80	40	1	0.01	0.0032	
20	85	40	1	0.014	0.0037	
18	75	20	1	0.02	0.0046	
15	75	20	1	0.0175	0.0040	
15	80	10	1	0.021	0.0092	
30	50	10	1	0.01	0.0147	
30	52	20	1	0.0115	0.0083	
28	52	20	1	0.01	0.0079	
28	55	10	1	0.012	0.0158	
25	50	10	1	0.021	0.0129	
25	52	40	1	0.023	0.0039	
