R25_Exponential

L
240

XCOORD.	YCOORD.	PROFIT	CUSTOMER	COLLECTRATE	DELAYRATIO
35	35	0	0	0	0	
41	49	10	1	0.0175	0.0074	
35	17	7	1	0.019	0.0212	
55	45	13	1	0.01	0.0087	
55	20	19	1	0.021	0.0073	
15	30	26	1	0.014	0.0055	
25	30	3	1	0.021	0.0480	
20	50	5	1	0.0175	0.0204	
10	43	9	1	0.02	0.0174	
55	60	16	1	0.021	0.0109	
30	60	16	1	0.0175	0.0048	
20	65	12	1	0.014	0.0141	
50	35	19	1	0.014	0.0093	
30	25	23	1	0.021	0.0079	
15	10	20	1	0.014	0.0089	
30	5	8	1	0.021	0.0112	
10	20	19	1	0.0175	0.0041	
5	30	2	1	0.021	0.0380	
20	40	12	1	0.01	0.0063	
15	60	17	1	0.021	0.0080	
45	65	9	1	0.0175	0.0162	
45	20	11	1	0.014	0.0085	
45	10	18	1	0.021	0.0098	
55	5	29	1	0.01	0.0028	
65	35	3	1	0.01	0.0320	
65	20	6	1	0.014	0.0261	
