R25

L
240

XCOORD.	YCOORD.	PROFIT	CUSTOMER	COLLECTRATE	DELAYRATIO
35	35	0	0	0.0175	0.012
41	49	10	1	0.0175	0.008
35	17	7	1	0.019	0.0168
55	45	13	1	0.01	0.012
55	20	19	1	0.021	0.014
15	30	26	1	0.014	0.014
25	30	3	1	0.021	0.018
20	50	5	1	0.0175	0.012
10	43	9	1	0.02	0.0172
55	60	16	1	0.021	0.018
30	60	16	1	0.0175	0.008
20	65	12	1	0.014	0.018
50	35	19	1	0.014	0.018
30	25	23	1	0.021	0.018
15	10	20	1	0.014	0.018
30	5	8	1	0.021	0.01
10	20	19	1	0.0175	0.008
5	30	2	1	0.021	0.01
20	40	12	1	0.01	0.008
15	60	17	1	0.021	0.014
45	65	9	1	0.0175	0.016
45	20	11	1	0.014	0.01
45	10	18	1	0.021	0.018
55	5	29	1	0.01	0.008
65	35	3	1	0.01	0.012
65	20	6	1	0.014	0.018
