instance,EnBBC,,,,ILS-MCS,,,,,
,z_{lb},z_{ub},gap,Time Fond z_{lb}(s),z_best,z_worst,z_avg,sd_z,gap,Time (s)
C25/130/2,56.21,66.75,18.7%,52.68,56.46,54.65,55.74,0.99,19.8%,0.55
C25/260/2,54.72,135.42,147.5%,3.72,95.35,95.35,95.35,0.00,42.0%,0.86
C25/390/2,94.73,189.39,99.9%,6026.02,113.36,113.36,113.36,0.00,67.1%,1.19
C25/520/2,48.36,231.01,377.7%,6.22,119.13,118.97,119.10,0.07,94.0%,3.08
C25/130/3,77.76,92.27,18.7%,9416.93,77.76,77.49,77.64,0.14,18.8%,0.69
C25/260/3,116.13,179.96,55.0%,10645.70,126.19,126.19,126.19,0.00,42.6%,1.02
C25/390/3,72.36,242.47,235.1%,3.55,143.42,143.42,143.42,0.00,69.1%,1.92
C25/520/3,130.14,332.88,155.8%,3159.38,148.20,148.05,148.17,0.07,124.7%,4.28
C25/130/4,90.75,114.99,26.7%,12552.00,94.93,94.86,94.88,0.03,21.2%,1.00
C25/260/4,118.95,223.79,88.1%,755.06,150.51,150.46,150.49,0.03,48.7%,2.54
C25/390/4,137.34,343.53,150.1%,6994.81,168.08,167.33,167.90,0.32,104.6%,4.08
C25/520/4,91.42,391.40,328.1%,101.82,172.37,171.64,172.22,0.33,127.3%,5.88
C25/130/5,97.26,142.22,46.2%,6952.19,110.55,110.44,110.48,0.06,28.7%,1.47
C25/260/5,120.37,328.35,172.8%,3417.73,171.72,171.72,171.72,0.00,91.2%,1.90
C25/390/5,157.40,388.42,146.8%,10230.60,188.93,188.40,188.70,0.23,105.8%,3.59
C25/520/5,107.23,391.40,265.0%,86.16,192.84,192.23,192.62,0.23,103.2%,3.96
Avg,98.20,237.14,145.8%,4400.29,133.11,132.79,133.00,0.16,69.3%,2.37
R25/240/2,54.27,80.00,47.4%,1271.20,55.93,55.93,55.93,0.00,43.0%,0.44
R25/480/2,43.03,147.39,242.5%,7539.86,70.47,70.47,70.47,0.00,109.1%,0.96
R25/720/2,24.48,197.12,705.4%,1089.96,72.28,72.28,72.28,0.00,172.7%,5.52
R25/960/2,29.15,265.41,810.4%,12975.80,72.46,72.45,72.46,0.01,266.3%,6.06
R25/240/3,72.99,112.12,53.6%,3053.14,75.48,75.48,75.48,0.00,48.5%,0.60
R25/480/3,77.41,240.65,210.9%,9037.75,90.97,90.97,90.97,0.00,164.5%,2.01
R25/720/3,64.43,265.35,311.8%,2377.60,92.69,92.68,92.68,0.01,186.3%,6.70
R25/960/3,22.60,265.41,1074.2%,12740.80,92.84,92.82,92.84,0.01,185.9%,11.61
R25/240/4,80.62,144.59,79.4%,9111.92,93.08,92.74,93.01,0.15,55.5%,1.09
R25/480/4,80.67,264.48,227.9%,10623.90,109.35,109.11,109.29,0.10,142.0%,2.45
R25/720/4,48.86,265.35,443.0%,7089.84,110.80,110.67,110.77,0.06,139.5%,9.99
R25/960/4,43.68,265.41,507.6%,8.78,110.92,110.82,110.88,0.04,139.4%,8.88
R25/240/5,98.37,175.27,78.2%,8822.56,109.62,107.75,108.65,0.90,61.3%,2.88
R25/480/5,59.05,264.48,347.9%,56.23,126.09,125.93,126.05,0.07,109.8%,3.50
R25/720/5,42.20,265.35,528.8%,8838.92,127.43,126.53,127.06,0.48,108.8%,9.23
R25/960/5,72.49,265.41,266.1%,13077.20,127.55,126.63,127.02,0.45,109.0%,10.82
Avg,57.14,217.74,370.9%,6732.22,96.12,95.83,95.99,0.14,127.6%,5.17
