instance,SCIP,,,,BBC,,,,EnBBC,,,,ILS-MCS,,,,,,ILS-IpOpt,,,,,
,z_{lb},z_{ub},gap,Time (s),z_{lb},z_{ub},gap,Time Fond z_{lb}(s),z_{lb},z_{ub},gap,Time Fond z_{lb}(s),z_best,z_worst,z_avg,sd_z,gap,Time (s),z_best,z_worst,z_avg,sd_z,gap,Time (s)
C6/70/2,14.65,14.65,0.00%,22.26,14.65,14.65,0.0%,2.13,14.65,14.65,0.0%,0.12,14.65,14.65,14.65,0.00,0.0%,0.04,14.65,14.65,14.65,0.00,0.0%,0.408
C6/140/2,26.18,26.18,0.00%,51.37,26.18,26.18,0.0%,7.68,26.18,26.18,0.0%,4.00,26.18,26.18,26.18,0.00,0.0%,0.03,26.18,26.18,26.18,0.00,0.0%,0.667
C6/210/2,31.63,31.63,0.00%,133.64,31.63,31.63,0.0%,8.20,31.63,31.63,0.0%,5.61,31.63,31.63,31.63,0.00,0.0%,0.03,31.63,31.63,31.63,0.00,0.0%,0.498
C6/280/2,34.21,34.21,0.00%,229.33,34.21,34.21,0.0%,13.46,34.21,34.21,0.0%,11.50,34.21,34.21,34.21,0.00,0.0%,0.03,34.21,34.21,34.21,0.00,0.0%,0.658
C6/70/3,18.27,18.27,0.00%,17.94,18.27,18.27,0.0%,1.51,18.27,18.27,0.0%,0.61,18.27,18.27,18.27,0.00,0.0%,0.05,18.27,18.27,18.27,0.00,0.0%,0.425
C6/140/3,32.97,32.97,0.00%,49.38,32.97,32.97,0.0%,4.86,32.97,32.97,0.0%,2.95,32.96,32.96,32.96,0.00,0.0%,0.06,32.97,32.97,32.97,0.00,0.0%,1.114
C6/210/3,39.56,39.56,0.00%,132.42,39.56,39.56,0.0%,7.29,39.56,39.56,0.0%,5.09,39.57,39.57,39.57,0.00,0.0%,0.06,39.56,39.56,39.56,0.00,0.0%,1.598
C6/280/3,42.53,42.53,0.00%,204.06,42.53,42.53,0.0%,11.05,42.53,42.53,0.0%,7.88,42.53,42.53,42.53,0.00,0.0%,0.05,42.53,42.53,42.53,0.00,0.0%,2.778
C6/70/4,21.83,21.83,0.00%,10.56,21.84,21.84,0.0%,1.23,21.83,21.83,0.0%,0.97,21.83,21.83,21.83,0.00,0.0%,0.09,21.83,21.83,21.83,0.00,0.0%,0.369
C6/140/4,39.49,39.49,0.00%,24.62,39.49,39.49,0.0%,3.29,39.49,39.49,0.0%,2.85,39.48,39.48,39.48,0.00,0.0%,0.06,39.49,39.31,39.35,0.08,0.0%,0.487
C6/210/4,46.92,46.92,0.00%,33.99,46.92,46.92,0.0%,4.23,46.92,46.92,0.0%,3.66,46.92,46.92,46.92,0.00,0.0%,0.05,46.81,46.81,46.81,0.00,0.2%,1.483
C6/280/4,50.28,50.28,0.00%,42.97,50.28,50.28,0.0%,7.12,50.28,50.28,0.0%,6.53,50.28,50.28,50.28,0.00,0.0%,0.08,50.28,50.28,50.28,0.00,0.0%,2.689
C6/70/5,25.25,25.25,0.00%,3.63,25.25,25.25,0.0%,0.79,25.25,25.25,0.0%,0.49,25.25,25.25,25.25,0.00,0.0%,0.04,25.25,25.25,25.25,0.00,0.0%,0.223
C6/140/5,45.65,45.65,0.00%,3.7,45.65,45.65,0.0%,1.08,45.65,45.65,0.0%,0.97,45.65,45.65,45.65,0.00,0.0%,0.05,45.38,45.38,45.38,0.00,0.6%,0.284
C6/210/5,54.17,54.17,0.00%,2.98,54.17,54.17,0.0%,1.08,54.17,54.17,0.0%,1.08,54.17,54.17,54.17,0.00,0.0%,0.07,54.17,54.17,54.17,0.00,0.0%,0.363
C6/280/5,57.87,57.87,0.00%,3.11,57.87,57.87,0.0%,1.13,57.87,57.87,0.0%,1.10,57.87,57.87,57.87,0.00,0.0%,0.06,57.87,57.87,57.87,0.00,0.0%,0.469
Avg,36.34,36.34,0.0%,60.37,36.34,36.34,0.0%,4.76,36.34,36.34,0.0%,3.46,36.34,36.34,36.34,0.00,0.0%,0.05,36.32,36.31,36.31,0.00,0.1%,0.91
R6/144/2,31.34,31.34,0.00%,29.43,31.34,31.34,0.0%,4.12,31.34,31.34,0.0%,1.00,31.34,31.34,31.34,0.00,0.0%,0.10,31.34,31.34,31.34,0.00,0.0%,0.645
R6/288/2,39.23,39.23,0.00%,64.04,39.23,39.23,0.0%,13.73,39.23,39.23,0.0%,11.11,39.23,39.23,39.23,0.00,0.0%,0.09,39.23,39.23,39.23,0.00,0.0%,1.86
R6/432/2,40.68,40.68,0.00%,102.51,40.68,40.68,0.0%,41.62,40.68,40.68,0.0%,31.32,40.68,40.68,40.68,0.00,0.0%,0.16,40.68,40.68,40.68,0.00,0.0%,2.741
R6/576/2,41.04,41.04,0.00%,98.63,41.04,41.04,0.0%,54.30,41.04,41.04,0.0%,52.88,41.05,41.05,41.05,0.00,0.0%,0.71,41.04,41.04,41.04,0.00,0.0%,7.163
R6/144/3,39.05,39.05,0.00%,21.91,39.05,39.05,0.0%,2.96,39.05,39.05,0.0%,2.13,39.05,39.05,39.05,0.00,0.0%,0.08,39.05,38.78,39.00,0.11,0.0%,0.554
R6/288/3,48.99,48.99,0.00%,31.32,48.99,48.99,0.0%,7.94,48.99,48.99,0.0%,12.21,48.99,48.98,48.94,0.02,0.0%,0.10,48.99,48.94,48.95,0.02,0.0%,0.653
R6/432/3,50.86,50.86,0.00%,36.62,50.86,50.86,0.0%,22.69,50.86,50.86,0.0%,29.99,50.86,50.86,50.86,0.00,0.0%,0.15,50.86,50.46,50.74,0.19,0.0%,1.387
R6/576/3,51.16,51.16,0.00%,64.87,51.16,51.16,0.0%,33.44,51.16,51.16,0.0%,35.40,51.16,50.99,50.74,0.23,0.0%,0.74,51.16,50.74,50.95,0.22,0.0%,1.858
R6/144/4,45.78,45.78,0.00%,8.56,45.78,45.78,0.0%,2.55,45.78,45.78,0.0%,2.25,45.78,45.78,45.78,0.00,0.0%,0.05,45.78,45.78,45.78,0.00,0.0%,0.418
R6/288/4,56.80,56.80,0.00%,10.53,56.80,56.80,0.0%,4.38,56.80,56.80,0.0%,4.89,56.80,56.80,56.80,0.00,0.0%,0.08,56.80,56.80,56.80,0.00,0.0%,0.484
R6/432/4,58.35,58.35,0.00%,21.99,58.35,58.35,0.0%,5.99,58.35,58.35,0.0%,8.03,58.35,58.35,58.35,0.00,0.0%,0.11,58.35,58.35,58.35,0.00,0.0%,0.486
R6/576/4,58.61,58.61,0.00%,13.75,58.61,58.61,0.0%,12.50,58.61,58.61,0.0%,14.22,58.61,58.61,58.61,0.00,0.0%,0.51,58.61,58.61,58.61,0.00,0.0%,0.522
R6/144/5,49.95,49.95,0.00%,1.73,49.95,49.95,0.0%,0.99,49.95,49.95,0.0%,0.97,49.95,49.95,49.95,0.00,0.0%,0.05,49.95,49.95,49.95,0.00,0.0%,0.197
R6/288/5,61.54,61.54,0.00%,0.84,61.54,61.54,0.0%,1.03,61.54,61.54,0.0%,1.82,61.54,61.54,61.54,0.00,0.0%,0.06,61.54,61.54,61.54,0.00,0.0%,0.21
R6/432/5,63.12,63.12,0.00%,0.8,63.12,63.12,0.0%,1.03,63.12,63.12,0.0%,1.64,63.12,63.12,63.12,0.00,0.0%,0.08,63.12,63.12,63.12,0.00,0.0%,0.236
R6/576/5,63.39,63.39,0.00%,6.3,63.39,63.39,0.0%,0.96,63.39,63.39,0.0%,1.34,63.39,63.39,63.39,0.00,0.0%,0.38,63.39,63.39,63.39,0.00,0.0%,0.239
Avg,49.99,49.99,0.00,32.11,49.99,49.99,0.00,13.14,49.99,49.99,0.00,13.20,49.99,49.98,49.96,0.02,0.00,0.22,49.99,49.92,49.97,0.03,0.00,1.23
