instance,BBC,,,,,EnBBC,,,,,ILS-MCS,,,,,,SCIP,,,,ILS-IpOpt,,,,,
,z_{lb},z_{ub},gap,Time (s),Time Fond z_{lb}(s),z_{lb},z_{ub},gap,Time (s),Time Fond z_{lb}(s),z_best,z_worst,z_avg,sd_z,gap,Time (s),z_{lb},z_{ub},gap,Time (s),z_best,z_worst,z_avg,sd_z,gap,Time (s)
C9/116/2,31.36,31.36,0.0%,35.60,35.40,31.36,31.36,0.0%,4.12,2.53,31.36,31.36,31.36,0.00,0.0%,0.16,31.36,31.36,0.00%,8637.41,31.36,31.36,31.36,0.00,0.0%,1.11
C9/232/2,46.13,46.13,0.0%,496.45,491.78,46.13,46.13,0.0%,227.70,11.45,46.13,46.13,46.13,0.00,0.0%,0.16,45.19,102.42,126.64%,14407.9,46.13,46.13,46.13,0.00,0.0%,1.97
C9/348/2,50.24,50.24,0.0%,666.63,460.62,50.24,50.24,0.0%,1064.86,892.40,50.24,50.24,50.24,0.00,0.0%,0.19,49.93,110.00,120.30%,14446.49,50.24,50.24,50.24,0.00,0.0%,7.28
C9/464/2,51.17,51.17,0.0%,1495.30,678.23,51.17,51.17,0.0%,1069.13,841.15,51.17,51.17,51.17,0.00,0.0%,0.22,50.75,112.38,121.45%,14411.4,51.17,51.17,51.17,0.00,0.0%,12.29
C9/116/3,42.26,42.26,0.0%,46.80,46.59,42.26,42.26,0.0%,11.29,1.32,42.26,42.26,42.26,0.00,0.0%,0.14,42.26,42.26,0.00%,13552.39,42.26,42.26,42.26,0.00,0.0%,1.77
C9/232/3,60.77,60.77,0.0%,573.46,399.75,60.77,60.77,0.0%,269.36,217.67,60.76,60.76,60.76,0.00,0.0%,0.18,60.77,103.62,70.53%,14407.27,60.77,60.77,60.77,0.00,0.0%,1.57
C9/348/3,65.72,65.72,0.0%,1744.62,810.54,65.72,65.73,0.0%,870.92,662.31,65.72,65.72,65.72,0.00,0.0%,0.23,65.68,111.34,69.53%,14405.67,65.72,65.72,65.72,0.00,0.0%,4.34
C9/464/3,66.85,66.85,0.0%,2949.85,2211.97,66.85,66.85,0.0%,1959.92,1959.91,66.85,66.85,66.85,0.00,0.0%,0.23,66.85,114.09,70.67%,14412.16,66.85,66.85,66.85,0.00,0.0%,19.63
C9/116/4,49.69,49.69,0.0%,40.69,16.27,49.69,49.69,0.0%,22.42,18.38,49.69,49.69,49.69,0.00,0.0%,0.18,49.69,49.69,0.00%,8150.33,49.69,49.69,49.69,0.00,0.0%,1.67
C9/232/4,72.73,72.73,0.0%,657.44,637.60,72.73,72.73,0.0%,291.05,371.29,72.73,72.73,72.73,0.00,0.0%,0.18,72.61,102.48,41.14%,14401.5,72.73,72.73,72.73,0.00,0.0%,0.95
C9/348/4,76.83,76.83,0.0%,1128.20,1128.20,76.83,76.83,0.0%,935.63,742.54,76.83,76.83,76.83,0.00,0.0%,0.27,76.80,110.30,43.62%,14409.46,76.83,76.83,76.83,0.00,0.0%,9.59
C9/464/4,77.86,77.86,0.0%,2471.04,1913.70,77.86,77.86,0.0%,1819.32,1288.20,77.85,77.85,77.85,0.00,0.0%,0.23,77.66,112.15,44.41%,14405.71,77.86,77.85,77.86,0.01,0.0%,21.84
C9/116/5,55.70,55.70,0.0%,45.13,32.88,55.70,55.70,0.0%,35.73,15.69,55.69,55.69,55.69,0.00,0.0%,0.18,55.70,55.70,0.00%,2482.93,55.70,55.70,55.70,0.00,0.0%,1.71
C9/232/5,80.83,80.83,0.0%,370.48,359.02,80.83,80.83,0.0%,334.43,212.94,80.83,80.83,80.83,0.00,0.0%,0.21,80.83,91.87,13.65%,14400.03,80.83,80.83,80.83,0.00,0.0%,3.05
C9/348/5,85.27,85.27,0.0%,689.50,404.46,85.27,85.28,0.0%,623.97,386.16,85.28,85.28,85.28,0.00,0.0%,0.23,85.26,104.10,22.10%,14400.35,85.27,85.27,85.27,0.00,0.0%,9.43
C9/464/5,86.36,86.37,0.0%,1111.41,353.84,86.36,86.36,0.0%,1114.74,131.22,86.35,86.35,86.35,0.00,0.0%,0.27,86.14,106.16,23.24%,14401.68,86.36,86.36,86.36,0.00,0.0%,17.15
Avg,62.49,62.49,0.0%,907.66,623.80,62.49,62.49,0.0%,665.91,484.70,62.48,62.48,62.48,0.00,0.0%,0.20,62.34,91.25,48.0%,12858.29,62.49,62.49,62.49,0.00,0.0%,7.21
R9/176/2,34.40,34.40,0.0%,100.51,100.51,34.40,34.40,0.0%,13.42,0.25,34.40,34.40,34.40,0.00,0.0%,0.10,34.40,52.78,53.43%,7200,34.40,34.40,34.40,0.00,0.0%,1.28
R9/352/2,40.12,40.12,0.0%,1627.65,1142.32,40.12,40.13,0.0%,856.99,851.94,40.12,40.12,40.12,0.00,0.0%,0.21,40.06,79.35,98.06%,7200.51,40.12,40.12,40.12,0.00,0.0%,7.39
R9/528/2,40.98,63.36,54.6%,14400.10,9026.36,40.98,40.99,0.0%,1694.78,457.14,40.99,40.99,40.99,0.00,0.0%,0.43,40.98,81.20,98.12%,7200.52,40.98,40.98,40.98,0.00,0.0%,14.33
R9/704/2,41.01,83.67,104.0%,14400.10,2211.13,41.12,41.12,0.0%,9818.63,5836.98,41.11,41.08,41.10,0.01,0.0%,0.51,41.12,82.04,99.52%,7200.86,41.12,41.10,41.12,0.01,0.0%,56.37
R9/176/3,45.21,45.21,0.0%,111.86,84.94,45.21,45.21,0.0%,64.26,23.77,45.21,45.21,45.21,0.00,0.0%,0.13,45.21,64.99,43.75%,7200,45.21,45.21,45.21,0.00,0.0%,1.54
R9/352/3,52.99,52.99,0.0%,2194.51,1782.76,52.99,52.99,0.0%,1522.51,788.92,52.98,52.98,52.98,0.00,0.0%,0.22,51.80,81.86,58.04%,7200.33,52.99,52.99,52.99,0.00,0.0%,5.65
R9/528/3,53.87,76.95,42.9%,14400.20,5420.03,53.93,53.93,0.0%,3575.88,2793.64,53.93,53.93,53.93,0.00,0.0%,0.34,53.83,84.13,56.29%,7200.24,53.93,53.92,53.93,0.01,0.0%,17.28
R9/704/3,54.04,85.43,58.1%,14400.00,8362.78,54.04,76.65,41.8%,14400.10,8833.69,54.04,54.04,54.04,0.00,41.8%,0.40,54.04,84.72,56.78%,7200.05,54.04,54.04,54.04,0.00,41.8%,70.37
R9/176/4,53.23,53.23,0.0%,152.28,143.05,53.23,53.23,0.0%,101.26,53.05,53.23,53.23,53.23,0.00,0.0%,0.16,53.23,53.23,0.00%,7083.12,53.23,53.23,53.23,0.00,0.0%,1.17
R9/352/4,62.01,62.01,0.0%,1583.76,1108.13,62.01,62.02,0.0%,1944.43,1219.53,62.01,62.01,62.01,0.00,0.0%,0.20,61.46,79.31,29.05%,7200.01,62.01,62.01,62.01,0.00,0.0%,6.05
R9/528/4,62.86,62.86,0.0%,9545.08,8051.05,62.86,62.86,0.0%,3102.69,2473.74,62.86,62.86,62.86,0.00,0.0%,0.37,61.35,83.05,35.37%,7200.12,62.86,62.85,62.86,0.00,0.0%,11.62
R9/704/4,62.96,82.70,31.4%,14400.00,6257.79,62.96,76.41,21.4%,14400.10,12922.50,62.96,62.96,62.96,0.00,21.4%,0.51,62.08,85.43,37.61%,7200.01,62.96,62.96,62.96,0.00,21.4%,53.68
R9/176/5,60.67,60.67,0.0%,158.27,150.11,60.67,60.67,0.0%,105.15,101.79,60.67,60.67,60.67,0.00,0.0%,0.17,60.67,60.67,0.00%,1675.24,60.67,60.67,60.67,0.00,0.0%,0.95
R9/352/5,69.08,69.08,0.0%,807.43,698.90,69.08,69.09,0.0%,1021.88,874.24,69.08,69.08,69.08,0.00,0.0%,0.19,69.08,69.08,0.00%,3463.63,69.08,69.07,69.08,0.01,0.0%,1.79
R9/528/5,69.85,69.85,0.0%,3083.45,2290.79,69.85,69.85,0.0%,1364.38,1070.18,69.85,69.85,69.85,0.00,0.0%,0.27,69.85,77.54,11.00%,7200,69.85,69.85,69.85,0.00,0.0%,6.47
R9/704/5,69.95,69.95,0.0%,5011.07,3544.70,69.95,69.96,0.0%,6089.51,5914.70,69.95,69.95,69.95,0.00,0.0%,0.53,69.95,82.49,17.94%,7200,69.95,69.95,69.95,0.00,0.0%,13.37
Avg,54.58,63.28,18.2%,6023.52,3148.46,54.59,56.84,4.0%,3754.75,2763.50,54.59,54.59,54.59,0.00,4.0%,0.30,54.32,75.12,43.4%,6614.04,54.59,54.58,54.59,0.00,4.0%,16.83
