instance,EnBBC (4h),,,,ILS-IPOPT,,,,,,AILS-MCS,,,,,
,z_{lb},z_{ub},gap(%),z_{lb} Found time(s),z_best,z_worst,z_avg,sd_z,gap(%),Time (s),z_best,z_worst,z_avg,sd_z,gap(%),Time (s)
C100/350/2,201.92 ,242.39 ,20.0%,7086.88 ,219.83 ,214.19 ,218.10 ,2.54 ,11.1%,172.26 ,219.83,219.83,219.83,0.00,10.3%,7.41
C100/700/2,373.94 ,430.98 ,15.3%,2856.86 ,371.59 ,370.73 ,371.14 ,0.30 ,16.1%,459.56 ,371.88,362.47,369.52,3.56,16.6%,96.50
C100/1050/2,463.14 ,584.84 ,26.3%,4829.98 ,464.49 ,460.25 ,463.33 ,1.75 ,26.2%,1254.73 ,466.37,462.30,465.33,1.53,25.7%,387.65
C100/1400/2,449.44 ,718.88 ,60.0%,4292.64 ,531.57 ,524.71 ,528.05 ,2.80 ,36.1%,2960.65 ,531.65,523.44,526.61,3.05,36.5%,1584.70
C100/350/3,245.81 ,338.19 ,37.6%,6578.18 ,305.40 ,305.09 ,305.15 ,0.14 ,10.8%,150.23 ,304.83,304.56,304.65,0.10,11.0%,15.82
C100/700/3,472.00 ,584.28 ,23.8%,8219.06 ,502.68 ,502.66 ,502.67 ,0.01 ,16.2%,973.22 ,502.66,502.14,502.37,0.17,16.3%,94.14
C100/1050/3,556.83 ,776.93 ,39.5%,11234.00 ,618.20 ,611.87 ,616.79 ,2.77 ,26.0%,1853.06 ,613.20,610.86,612.29,0.78,26.9%,511.40
C100/1400/3,485.26 ,930.45 ,91.7%,12887.00 ,679.53 ,679.23 ,679.35 ,0.16 ,37.0%,3337.05 ,679.10,673.35,677.33,2.31,37.4%,1548.92
C100/350/4,-,432.26 ,-,-,384.20 ,382.16 ,383.09 ,0.93 ,12.8%,491.34 ,382.91,382.53,382.69,0.13,13.0%,26.37
C100/700/4,-,722.39 ,-,-,605.95 ,605.26 ,605.60 ,0.30 ,19.3%,2030.85 ,607.71,605.11,606.57,0.88,19.1%,279.85
C100/1050/4,-,937.77 ,-,-,730.55 ,728.57 ,729.67 ,0.87 ,28.5%,5860.85 ,729.87,728.25,728.98,0.57,28.6%,736.45
