instance,SCIP,,,,BBC,,,,EnBBC,,,,,ILS-IpOpt,,,,,,ILS-MCS,,,,,
NbCus/Tmax/NbVeh,z_{lb},z_{ub},gap(%),Time (s),z_{lb},z_{ub},gap,Time (s),z_{lb},z_{ub},gap,Time (s),Time Fond z_{lb}(s),z_best,z_worst,z_avg,sd_z,gap,Time (s),z_best,z_worst,z_avg,sd_z,gap,Time (s)
C25/130/2,60.92,317.85,421.7,7200.0,62.03,317.85,412.4%,7200.0,59.34,74.02,24.7%,7200.0,3564.46,65.76,65.76,65.76,0.00,12.6%,15.75,65.76,65.68,65.71,0.03,12.7%,0.43
C25/260/2,95.72,430.34,349.6,7200.0,102.17,430.33,321.2%,7200.0,122.40,145.37,18.8%,7200.0,5446.90,129.02,129.02,129.02,0.00,12.7%,86.95,129.02,129.02,129.02,0.00,12.7%,1.66
C25/390/2,153.47,447.92,191.9,7200.0,120.11,447.92,272.9%,7200.0,168.38,224.03,33.0%,7200.0,4652.80,173.93,173.20,173.78,0.29,28.9%,411.95,173.89,173.56,173.74,0.15,28.9%,2.12
C25/520/2,180.64,451.31,149.8,7200.0,127.45,451.31,254.1%,7200.0,199.68,236.35,18.4%,7200.0,453.42,205.61,205.47,205.55,0.07,15.0%,474.28,205.45,205.45,205.45,0.00,15.0%,8.60
C25/130/3,71.12,317.85,346.9,7200.0,87.43,317.85,263.5%,7200.0,85.33,109.74,28.6%,7200.0,3211.66,90.46,90.46,90.46,0.00,21.3%,37.31,90.46,90.43,90.39,0.03,21.4%,0.85
C25/260/3,134.39,430.33,220.2,7200.0,137.95,430.33,211.9%,7200.0,167.26,195.53,16.9%,7200.0,5301.15,171.12,171.12,171.12,0.00,14.3%,266.46,171.10,170.98,171.01,0.05,14.3%,2.20
C25/390/3,189.96,447.92,135.8,7200.0,159.39,447.92,181.0%,7200.0,215.61,252.67,17.2%,7200.0,6877.86,221.67,221.43,221.57,0.12,14.0%,732.88,221.60,221.42,221.50,0.08,14.1%,3.66
C25/520/3,227.10,451.30,98.7,7200.0,167.63,451.31,169.2%,7200.0,250.22,296.36,18.4%,7200.8,2.29,253.94,253.45,253.80,0.18,16.8%,785.75,253.74,253.70,253.73,0.02,16.8%,41.64
C25/130/4,87.29,317.85,264.1,7200.0,102.97,317.85,208.7%,7200.0,102.68,139.19,35.6%,7200.0,5740.65,110.72,110.72,110.72,0.00,25.7%,36.86,110.72,110.64,110.69,0.03,25.8%,0.62
C25/260/4,167.85,430.34,156.4,7200.0,170.11,430.33,153.0%,7200.0,192.78,234.26,21.5%,7200.0,1883.23,206.37,206.32,206.35,0.02,13.5%,222.62,206.37,206.29,206.25,0.06,13.6%,3.35
