instance,SCIP,,BBC,,EnBBC,,,,,ILS-IpOpt,,,,,,ILS-MCS,,,,,
NbCus/Tmax/NbVeh,z_{opt},Time (s),z_{opt},Time (s),z_{lb},z_{ub},gap,Time (s),Time Fond z_{lb}(s),z_best,z_worst,z_avg,sd_z,gap,Time (s),z_best,z_worst,z_avg,sd_z,gap,Time (s)
C6/70/2,15.88 ,34.2,15.88,25.9,15.88,15.88,0.0%,0.37,0.36,15.88,15.88,15.88,0.00,0.0%,0.98,15.88,15.88,15.88,0.00,0.0%,0.03
C6/140/2,30.25 ,79.1,30.25,47.7,30.25,30.25,0.0%,2.00,1.77,30.25,30.25,30.25,0.00,0.0%,3.07,30.25,30.25,30.25,0.00,0.0%,0.05
C6/210/2,40.90 ,225.4,40.90,60.8,40.90,40.90,0.0%,4.66,2.47,40.90,40.90,40.90,0.00,0.0%,2.94,40.90,40.90,40.90,0.00,0.0%,0.06
C6/280/2,48.01 ,453.5,48.01,53.8,48.01,48.01,0.0%,10.23,1.43,48.01,48.01,48.01,0.00,0.0%,3.99,48.01,48.01,48.01,0.00,0.0%,0.09
C6/70/3,20.66 ,25.6,20.66,13.0,20.66,20.66,0.0%,0.85,0.85,20.65,20.65,20.65,0.00,0.0%,1.67,20.65,20.65,20.65,0.00,0.0%,0.05
C6/140/3,40.91 ,50.5,40.91,18.4,40.91,40.91,0.0%,0.99,0.36,40.91,40.91,40.91,0.00,0.0%,1.67,40.91,40.91,40.91,0.00,0.0%,0.06
C6/210/3,52.74 ,68.5,52.74,22.8,52.74,52.74,0.0%,3.43,2.85,52.74,52.74,52.74,0.00,0.0%,1.71,52.74,52.74,52.74,0.00,0.0%,0.06
C6/280/3,59.52 ,89.6,59.52,20.0,59.52,59.52,0.0%,2.22,0.79,59.52,59.52,59.52,0.00,0.0%,1.78,59.52,59.52,59.52,0.00,0.0%,0.06
C6/70/4,25.25 ,11.1,25.25,6.5,25.25,25.25,0.0%,0.55,0.44,25.25,25.25,25.25,0.00,0.0%,0.60,25.25,25.25,25.25,0.00,0.0%,0.04
C6/140/4,48.52 ,10.1,48.52,6.9,48.52,48.52,0.0%,0.90,0.72,48.52,48.52,48.52,0.00,0.0%,1.01,48.52,48.52,48.52,0.00,0.0%,0.08
C6/210/4,60.83 ,17.7,60.83,5.1,60.83,60.83,0.0%,1.11,0.94,60.83,60.83,60.83,0.00,0.0%,1.00,60.83,60.83,60.83,0.00,0.0%,0.06
C6/280/4,66.82 ,18.2,66.82,4.9,66.82,66.82,0.0%,1.15,0.81,66.82,66.75,66.79,0.03,0.0%,0.97,66.82,66.82,66.82,0.00,0.0%,0.05
C6/70/5,29.28 ,5.8,29.28,1.4,29.28,29.28,0.0%,0.19,0.13,29.28,29.28,29.28,0.00,0.0%,0.54,29.28,29.28,29.28,0.00,0.0%,0.03
C6/140/5,54.99 ,2.8,54.99,1.4,54.99,54.99,0.0%,0.32,0.28,54.93,54.93,54.93,0.00,0.1%,0.45,54.93,54.93,54.93,0.00,0.1%,0.03
C6/210/5,66.57 ,2.7,66.57,1.9,66.57,66.57,0.0%,0.34,0.13,66.57,66.57,66.57,0.00,0.0%,0.52,66.57,66.57,66.57,0.00,0.0%,0.04
C6/280/5,71.71 ,1.8,71.71,1.6,71.71,71.71,0.0%,0.36,0.07,71.71,71.71,71.71,0.00,0.0%,0.48,71.71,71.71,71.71,0.00,0.0%,0.04
Avg,45.80 ,68.5 ,45.80 ,18.3,45.80,45.80,0.0%,1.85,0.90,45.80,45.79,45.80,0.00,0.0%,1.46,45.80,45.80,45.80,0.00,0.0%,0.05
