instance,SCIP,,,,BBC,,,,EnBBC,,,,,ILS-IpOpt,,,,,,ILS-MCS,,,,,
 NbCus/Tmax/NbVeh,z_{lb},z_{ub},gap,Time (s),z_{lb},z_{ub},gap,Time (s),z_{lb},z_{ub},gap,Time (s),Time Fond z_{lb}(s),z_best,z_worst,z_avg,sd_z,gap,Time (s),z_best,z_worst,z_avg,sd_z,gap,Time (s)
C9/116/2,35.69,87.03,143.9%,7200.0,36.32,88.69,144.2%,7200.0,36.32,36.32,0.0%,2.9,2.85,36.32,36.32,36.32,0.00,0.0%,3.94,36.32,36.32,36.32,0.00,0.0%,0.05
C9/232/2,62.29,128.27,105.9%,7200.0,62.98,128.27,103.7%,7200.0,63.68,63.69,0.0%,196.2,5.28,63.68,63.64,63.67,0.02,0.0%,23.33,63.68,63.13,63.54,0.24,0.2%,0.25
C9/348/2,80.32,133.73,66.5%,7200.0,80.25,135.09,68.3%,7200.0,80.57,85.60,6.2%,7200.0,698.65,80.57,80.57,80.57,0.00,6.2%,84.87,80.57,80.57,80.57,0.00,6.2%,0.54
C9/464/2,89.48,135.92,51.9%,7200.0,90.35,136.54,51.1%,7200.0,90.53,109.26,20.7%,7200.0,148.67,90.53,90.53,90.53,0.00,20.7%,57.13,90.53,90.53,90.53,0.00,20.7%,0.44
C9/116/3,46.28,86.98,87.9%,7200.0,45.73,88.69,94.0%,7200.0,46.47,46.47,0.0%,6.9,6.11,46.47,46.47,46.47,0.00,0.0%,6.96,46.47,46.47,46.47,0.00,0.0%,0.14
C9/232/3,77.69,128.27,65.1%,7200.0,80.73,128.27,58.9%,7200.0,81.46,81.47,0.0%,862.7,522.02,81.46,81.46,81.46,0.00,0.0%,9.92,81.46,81.46,81.46,0.00,0.0%,0.30
C9/348/3,96.00,135.09,40.7%,7200.0,98.34,135.09,37.4%,7200.0,98.78,101.73,3.0%,7200.0,6381.63,98.78,98.76,98.78,0.01,3.0%,15.01,98.78,98.78,98.78,0.00,3.0%,0.34
C9/464/3,106.48,136.54,28.2%,7200.0,106.63,136.54,28.0%,7200.0,106.82,127.48,19.3%,7200.0,598.13,106.86,106.86,106.86,0.00,19.3%,20.45,106.86,106.86,106.86,0.00,19.3%,0.52
C9/116/4,56.44,56.44,0.0%,5990.7,56.40,88.65,57.2%,7200.0,56.44,56.44,0.0%,15.1,11.98,56.44,55.58,56.12,0.29,0.6%,5.21,56.44,56.06,56.02,0.12,0.7%,0.32
C9/232/4,94.26,126.24,33.9%,7200.0,95.06,128.27,34.9%,7200.0,95.26,95.27,0.0%,565.9,519.61,95.26,95.26,95.26,0.00,0.0%,8.37,95.26,95.26,95.26,0.00,0.0%,0.26
C9/348/4,110.36,134.16,21.6%,7200.0,110.70,135.09,22.0%,7200.0,110.96,110.97,0.0%,1647.5,1474.63,110.96,110.96,110.96,0.00,0.0%,9.60,110.96,110.96,110.96,0.00,0.0%,0.28
C9/464/4,106.23,136.54,28.5%,7200.0,116.85,136.54,16.9%,7200.0,116.98,116.99,0.0%,6840.9,2345.14,116.98,116.98,116.98,0.00,0.0%,11.31,116.98,116.98,116.98,0.00,0.0%,0.49
C9/116/5,66.17,66.17,0.0%,2138.5,66.17,66.18,0.0%,3807.7,66.17,66.18,0.0%,24.0,14.80,66.17,65.75,66.09,0.17,0.1%,3.62,66.17,66.17,66.17,0.00,0.0%,0.12
C9/232/5,105.12,121.45,15.5%,7200.0,105.21,105.21,0.0%,4792.3,105.21,105.22,0.0%,381.0,77.77,105.20,105.12,105.17,0.04,0.0%,3.83,105.20,105.20,105.20,0.00,0.0%,0.15
C9/348/5,117.78,134.17,13.9%,7200.0,118.94,118.95,0.0%,4600.5,118.94,118.95,0.0%,1117.9,216.98,118.94,118.71,118.89,0.09,0.1%,4.20,118.94,118.94,118.94,0.00,0.0%,0.18
C9/464/5,117.25,136.54,16.5%,7200.0,123.00,123.01,0.0%,3882.4,123.00,123.01,0.0%,1601.0,1185.06,123.00,122.51,122.82,0.18,0.2%,4.63,123.00,123.00,123.00,0.00,0.0%,0.21
Avg,85.49,117.72,45.0%,6808.08,87.10,117.44,44.8%,6467.7,87.35,90.31,3.1%,2628.9,888.08,87.35,87.22,87.31,0.05,3.1%,17.03,87.35,87.29,87.32,0.02,3.1%,0.29
R9/176/2,40.23,87.53,117.6%,7200.0,39.72,92.54,133.0%,7200.0,40.39,40.39,0.0%,5.2,3.58,40.39,40.39,40.39,0.00,0.0%,4.85,40.39,40.39,40.39,0.00,0.0%,0.04
R9/352/2,61.99,102.94,66.0%,7200.0,64.28,104.10,62.0%,7200.0,64.92,64.92,0.0%,2451.3,164.35,64.92,64.92,64.92,0.00,0.0%,14.65,64.92,64.92,64.92,0.00,0.0%,0.18
R9/528/2,70.28,105.05,49.5%,7200.0,72.99,105.05,43.9%,7200.0,73.99,87.73,18.6%,7200.2,101.08,73.99,73.49,73.89,0.20,18.7%,21.10,73.99,73.99,73.99,0.00,18.6%,0.40
R9/704/2,76.13,105.00,37.9%,7200.0,75.80,105.17,38.7%,7200.0,76.71,93.19,21.5%,7200.1,1165.03,76.93,76.67,76.88,0.10,21.2%,31.38,76.93,76.71,76.88,0.10,21.2%,0.51
R9/176/3,56.12,90.50,61.3%,7200.0,55.63,92.54,66.3%,7200.0,56.12,56.12,0.0%,12.6,4.75,56.12,55.95,56.05,0.08,0.1%,5.80,56.12,56.12,56.12,0.00,0.0%,0.13
R9/352/3,79.23,103.32,30.4%,7200.0,80.09,104.10,30.0%,7200.0,80.09,80.10,0.0%,3517.1,1049.94,80.09,80.09,80.09,0.00,0.0%,9.88,80.09,80.09,80.09,0.00,0.0%,0.19
R9/528/3,81.14,105.05,29.5%,7200.0,84.31,105.05,24.6%,7200.0,86.45,93.63,8.3%,7200.0,909.40,86.45,86.25,86.41,0.08,8.4%,12.59,86.45,86.45,86.45,0.00,8.3%,0.17
R9/704/3,85.83,105.17,22.5%,7200.0,87.47,105.17,20.2%,7200.0,87.47,98.33,12.4%,7200.4,2578.38,87.47,87.47,87.47,0.00,12.4%,13.80,87.47,87.47,87.47,0.00,12.4%,0.39
